"PLU","CATEGORY","COMMODITY","VARIETY","SIZE","MEASUREMENTS: NORTH AMERICA","MEASUREMENTS: REST OF WORLD","RESTRICTIONS / NOTES","BOTANICAL NAME","AKA","NOTES","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE","","",""
"3000","Fruits","APPLES","Alkmene","    All Sizes        ","","","","Malus domestica","","test note","2021-03-04 07:20:35","1999-12-31 00:00:00"," ","","","","",""
"3001","Fruits","APPLES","Aurora/Southern Rose"," Small  ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","","2021-02-26 14:12:51","1999-12-31 00:00:00"," ","","","","",""
"3002","Fruits","APPLES","Cantared"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:13:23","1999-12-31 00:00:00"," ","","","","",""
"3003","Fruits","APPLES","D'Estivale"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:13:52","1999-12-31 00:00:00"," ","","","","",""
"3004","Fruits","APPLES","Discovery","     All Sizes     ","","","","Malus domestica","","","2021-02-26 14:15:13","1999-12-31 00:00:00"," ","","","","",""
"3005","Fruits","APPLES","Golden Delicious Blush"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:15:45","1999-12-31 00:00:00"," ","","","","",""
"3006","Fruits","APPLES","Ingrid Marie","  All Sizes  ","","","","Malus domestica","","","2021-02-26 14:16:31","1999-12-31 00:00:00"," ","","","","",""
"3007","Fruits","APPLES","Lochbuie"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:41:10","1999-12-31 00:00:00"," ","","","","",""
"3008","Fruits","APPLES","Rubinette"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:26:21","1999-12-31 00:00:00"," ","","","","",""
"3009","Fruits","APPLES","Russet"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:27:04","1999-12-31 00:00:00"," ","","","","",""
"3010","Fruits","APPLES","Cripps Red"," Small  ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","Sundowner","","2021-02-26 14:27:58","1999-12-31 00:00:00"," ","","","","",""
"3011","Fruits","APPLES","Worcester"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:28:35","1999-12-31 00:00:00"," ","","","","",""
"3012","Fruits","PEARS","Abate Fetel","All Sizes","","","","Pyrus spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
